"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"2.760.324.869,77";"66.093.873,56";"55.509.930,86";"190.849.299,64";
"08/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"1.167.494,36";"3.897.457,82";"35.029.084,87";"0,00";
"04/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"46.705.334,26";"386.686.455,74";"387.004.523,77";"76.196.243,04";
"03/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 7.070.615,50";"642.696.516,91";"641.866.345,99";"123.856.731,62";
"01/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"8.497.383.360,75";"167.265.150,82";"151.921.777,61";"150.992.699,78";
"05/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"9.721.291,07";"462.615.347,12";"458.736.556,56";"88.046.122,70";
"07/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.914.823,99";"401.123.860,12";"407.876.777,37";"93.262.025,26";
"02/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"16.540.942,04";"180.343.471,01";"180.213.486,84";"117.593.111,52";
"06/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"4.530.888,44";"34.642.188,89";"28.930.909,83";"67.916,31";
"01/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"198.680.853,43";"15.271.675,08";"5.750.470,82";"14.650.299,40";
"05/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"10.712.904,33";"25.790.809,23";"21.560.681,43";"23.081,22";
"02/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"16.521.487,61";"18.136.066,60";"17.704.015,65";"4.276.268,70";
"08/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"3.021.584,68";"4.261.754,41";"29.532.192,30";"147.936,43";
"07/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"9.882.025,78";"25.656.576,89";"27.017.940,01";"1.450,00";
"06/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"8.241.410,07";"29.717.157,50";"24.707.872,17";"844.164,03";
"04/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.704.113,86";"20.703.014,28";"21.683.088,54";"15.183,56";
"03/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"734.725,22";"22.359.763,26";"21.858.871,15";"673.352,58";
"01/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"36.805.030,00";"9.185.717,84";"3.013.484,61";"10.303.447,17";
